,fighter1,fighter2,event_name,event_date,details,result,fighter_name
14,Evan Tanner,Phil Baroni,UFC® 45,"Nov 21, 2003",Revolution,Loss,Phil Baroni
15,Matt Lindland,Phil Baroni,UFC® 41,"Feb 28, 2003",Onslaught,Loss,Phil Baroni
16,Phil Baroni,Dave Menne,UFC® 39,"Sep 27, 2002",The Warriors Return,Win,Phil Baroni
17,Phil Baroni,Amar Suloev,UFC® 37,"May 10, 2002",High Impact,Win,Phil Baroni
18,Matt Lindland,Phil Baroni,UFC® 34,"Nov 2, 2001",High Voltage,Loss,Phil Baroni
19,Phil Baroni,Curtis Stout,UFC® 30,"Feb 23, 2001",The Battle On The Boardwalk,Win,Phil Baroni
0,Gian Villante,Francimar Barroso,UFC 220 Miocic vs Ngannou,"Jan 20, 2018",Live on Pay-Per-View,Loss,Francimar Barroso
1,Francimar Barroso,Aleksandar Rakic,UFC Fight Night Volkov vs Struve,"Sep 2, 2017",Live on Fight Network,Loss,Francimar Barroso
2,Darren Stewart,Francimar Barroso,UFC Fight Night Manuwa vs Anderson,"Mar 18, 2017",Live on Fight Network,Win,Francimar Barroso
3,Francimar Barroso,Darren Stewart,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,NO CONTEST,Francimar Barroso
4,Nikita Krylov,Francimar Barroso,UFC Fight Night Overeem vs. Arlovski,"May 8, 2016",TSN 2,Loss,Francimar Barroso
5,Francimar Barroso,Elvis Mutapcic,UFC Fight Night Dillashaw vs. Cruz,"Jan 17, 2016",TSN 5,Win,Francimar Barroso
6,Francimar Barroso,Ryan Jimmo,UFC Fight Night Condit vs. Alves,"May 30, 2015",TSN,Win,Francimar Barroso
7,Francimar Barroso,Hans Stringer,UFC Fight Night Shogun vs. Henderson 2,"Mar 23, 2014",Sportsnet 360,Loss,Francimar Barroso
8,Ednaldo Oliveira,Francimar Barroso,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Win,Francimar Barroso
0,Pat Barry,Soa Palelei,UFC Fight Night Live on Sportsnet One,"Dec 6, 2013",Hunt vs. Bigfoot,Loss,Pat Barry
1,Pat Barry,Shawn Jordan,UFC 161 Live from Winnipeg,"Jun 15, 2013",Evans vs. Henderson,Loss,Pat Barry
2,Pat Barry,Shane Del Rosario,The Ultimate Fighter 16,"Dec 15, 2012",Finale,Win,Pat Barry
3,Pat Barry,Lavar Johnson,UFC®,"May 5, 2012",Diaz vs. Milller,Loss,Pat Barry
4,Pat Barry,Christian Morecraft,UFC®,"Jan 20, 2012",Guillard vs. Miller,Win,Pat Barry
5,Pat Barry,Stefan Struve,UFC LIVE 6,"Oct 1, 2011",Cruz vs. Johnson,Loss,Pat Barry
6,Cheick Kongo,Pat Barry,UFC® LIVE,"Jun 26, 2011",KONGO vs BARRY,Loss,Pat Barry
7,Pat Barry,Joey Beltran,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Win,Pat Barry
8,Mirko Cro Cop,Pat Barry,UFC® 115,"Jun 12, 2010",LIDDELL vs. FRANKLIN,Loss,Pat Barry
9,Pat Barry,Antoni Hardonk,UFC® 104,"Oct 24, 2009",MACHIDA v SHOGUN,Win,Pat Barry
10,Tim Hague,Pat Barry,UFC® 98,"May 23, 2009",EVANS vs MACHIDA,Loss,Pat Barry
11,Pat Barry,Dan Evensen,UFC® 92,"Dec 27, 2008",THE ULTIMATE 2008,Win,Pat Barry
0,Marcus Brimage,Stephen Bass,The Ultimate Fighter Finale,"Dec 3, 2011",Team Miller vs. Team Bisping,Loss,Stephen Bass
0,Amanda Nunes,Shayna Baszler,UFC Fight Night Maia vs. LaFlare,"Mar 21, 2015",TSN 1,Loss,Shayna Baszler
1,Bethe Correia,Shayna Baszler,UFC 177 Dillashaw vs. Soto,"Aug 30, 2014",Live on Pay-Per-View,Loss,Shayna Baszler
2,Sara McMann,Shayna Baszler,Invicta FC 2,"Jul 28, 2012",McMann vs. Baszler,Loss,Shayna Baszler
3,Sarah Kaufman,Shayna Baszler,Strikeforce Challengers 2,"Jun 19, 2009",,Loss,Shayna Baszler
4,Cristiane Justino,Shayna Baszler,EliteXC - Unfinished Business,"Jul 26, 2008",,Loss,Shayna Baszler
0,Chris Beal,Joe Soto,UFC Fight Night MacDonald vs. Thompson,"Jun 18, 2016",Live on TSN 5,Loss,Chris Beal
1,Chris Kelades,Chris Beal,UFC Fight Night Holloway vs. Oliveira,"Aug 23, 2015",TSN 5,Loss,Chris Beal
2,Neil Seery,Chris Beal,UFC Fight Night Gustafsson vs. Johnson,"Jan 24, 2015",Live on TSN 4,Loss,Chris Beal
3,Chris Beal,Tateki Matsuda,UFC Fight Night Jacare vs. Mousasi,"Sep 5, 2014",UFC FIGHT PASS,Win,Chris Beal
4,Chris Beal,Patrick Williams,UFC 172 Jones vs. Teixeira,"Apr 26, 2014",Live on Pay-Per-View,Win,Chris Beal
0,Ariel Beck,Shana Dobson,The Ultimate Fighter Finale Modafferi vs Montano,"Dec 1, 2017",Live on TSN 5,Loss,Ariel Beck
0,Rani Yahya,Johnny Bedford,UFC Fight Night Bigfoot vs. Arlovski,"Sep 13, 2014",UFC FIGHT PASS,Loss,Johnny Bedford
1,Johnny Bedford,Cody Gibson,UFC Fight Night Swanson vs. Stephens,"Jun 28, 2014",Sportsnet 360,Loss,Johnny Bedford
2,Rani Yahya,Johnny Bedford,UFC Fight Night Nogueira vs. Nelson,"Apr 11, 2014",UFC Fight Pass,NO CONTEST,Johnny Bedford
3,Bryan Caraway,Johnny Bedford,UFC 159  Live on Pay-Per View,"Apr 27, 2013",Jones vs. Sonnen,Loss,Johnny Bedford
4,Johnny Bedford,Marcos Vinicius,The Ultimate Fighter 16,"Dec 15, 2012",Finale,Win,Johnny Bedford
5,Louis Gaudinot,Johnny Bedford,The Ultimate Fighter Finale,"Dec 3, 2011",Team Miller vs. Team Bisping,Win,Johnny Bedford
0,Michael Bisping,Alan Belcher,UFC 159  Live on Pay-Per View,"Apr 27, 2013",Jones vs. Sonnen,Loss,Alan Belcher
1,Yushin Okami,Alan Belcher,UFC 155,"Dec 29, 2012",Dos Santos vs. Velasquez II,Loss,Alan Belcher
2,Rousimar Palhares,Alan Belcher,UFC®,"May 5, 2012",Diaz vs. Milller,Win,Alan Belcher
3,Alan Belcher,Jason MacDonald,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Win,Alan Belcher
4,Patrick Cote,Alan Belcher,UFC® 113,"May 8, 2010",MACHIDA vs SHOGUN 2,Win,Alan Belcher
5,Alan Belcher,Wilson Gouveia,UFC® 107,"Dec 12, 2009",PENN vs SANCHEZ,Win,Alan Belcher
6,Yoshihiro Akiyama,Alan Belcher,UFC® 100,"Jul 11, 2009",Lesnar vs. Mir II,Loss,Alan Belcher
7,Alan Belcher,Denis Kang,UFC® 93,"Jan 17, 2009",FRANKLIN vs HENDERSON,Win,Alan Belcher
8,Alan Belcher,Ed Herman,UFC® Fight Night™,"Sep 17, 2008",Diaz vs Neer,Win,Alan Belcher
9,Jason Day,Alan Belcher,UFC® 83,"Apr 19, 2008",SERRA vs ST-PIERRE 2,Loss,Alan Belcher
10,Alan Belcher,Kalib Starnes,UFC® 77,"Oct 20, 2007",HOSTILE TERRITORY,Win,Alan Belcher
11,Alan Belcher,Sean Salmon,UFC® 71,"May 26, 2007",LIDDELL vs JACKSON,Win,Alan Belcher
12,Kendall Grove,Alan Belcher,UFC® 69,"Apr 7, 2007",SHOOTOUT,Loss,Alan Belcher
13,Alan Belcher,Jorge Santiago,UFC® Fight Night™,"Dec 13, 2006",SANCHEZ vs RIGGS,Win,Alan Belcher
14,Yushin Okami,Alan Belcher,UFC® 62,"Aug 26, 2006",LIDDELL VS. SOBRAL,Loss,Alan Belcher
0,Fabio Maldonado,Joey Beltran,UFC Fight Night Live on Sportsnet,"Oct 9, 2013",Maia vs. Shields,Loss,Joey Beltran
1,Igor Pokrajac,Joey Beltran,UFC on FX,"Dec 14, 2012",Sotiropoulos vs. Pearson,NO CONTEST,Joey Beltran
2,James Te Huna,Joey Beltran,UFC on FUEL TV 4,"Jul 11, 2012",Munoz vs. Weidman,Loss,Joey Beltran
3,Joey Beltran,Lavar Johnson,UFC®,"Jan 28, 2012",Evans vs. Davis,Loss,Joey Beltran
4,Joey Beltran,Stipe Miocic,UFC® 136,"Oct 8, 2011",EDGAR vs. MAYNARD III,Loss,Joey Beltran
5,Joey Beltran,Aaron Rosa,UFC® 131,"Jun 11, 2011",DOS SANTOS vs. CARWIN,Win,Joey Beltran
6,Pat Barry,Joey Beltran,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Loss,Joey Beltran
7,Matt Mitrione,Joey Beltran,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Loss,Joey Beltran
8,Joey Beltran,Tim Hague,UFC® 113,"May 8, 2010",MACHIDA vs SHOGUN 2,Win,Joey Beltran
9,Joey Beltran,Rolles Gracie,UFC® 109,"Feb 6, 2010",RELENTLESS,Win,Joey Beltran
10,Yohan Banks,Joey Beltran,Strikeforce - Young Guns,"Feb 10, 2007",,Loss,Joey Beltran
0,DeAnna Bennett,Melinda Fábián,The Ultimate Fighter Finale Modafferi vs Montano,"Dec 1, 2017",Live on TSN 5,DRAW,DeAnna Bennett
0,Bobby Voelker,Lance Benoist,UFC Fight Night,"Jun 7, 2014",Henderson vs Khabilov,Win,Lance Benoist
1,Sean Pierson,Lance Benoist,UFC® 152 Live on Pay-Per-View,"Sep 22, 2012",Jones vs. Belfort,Loss,Lance Benoist
2,Seth Baczynski,Lance Benoist,UFC®,"Jun 8, 2012",Johnson vs. McCall,Loss,Lance Benoist
3,Matthew Riddle,Lance Benoist,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Win,Lance Benoist
0,Anthony Birchak,Dileno Lopes,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,Win,Anthony Birchak
1,Thomas Almeida,Anthony Birchak,UFC Fight Night Belfort vs Henderson,"Nov 7, 2015",FS1,Loss,Anthony Birchak
2,Joe Soto,Anthony Birchak,UFC Fight Night Boetsch vs. Henderson,"Jun 6, 2015",TSN 5,Win,Anthony Birchak
3,Anthony Birchak,Ian Entwistle,UFC Fight Night Dos Santos vs. Miocic,"Dec 13, 2014",Sportsnet 360,Loss,Anthony Birchak
0,Tom Blackledge,Anthony Perosh,UFC® 127,"Feb 26, 2011",PENN vs. FITCH,Loss,Tom Blackledge
0,Chas Skelly,Maximo Blanco,UFC Fight Night Poirier vs Johnson,"Sep 17, 2016",Live on TSN 4/5,Loss,Maximo Blanco
1,Maximo Blanco,Luke Sanders,UFC Fight Night Dillashaw vs. Cruz,"Jan 17, 2016",TSN 5,Loss,Maximo Blanco
2,Maximo Blanco,Mike De La Torre,UFC Fight Night Ellenberger vs. Thompson,"Jul 12, 2015",TSN,Win,Maximo Blanco
3,Maximo Blanco,Dan Hooker,UFC Fight Night Hunt vs. Nelson,"Sep 20, 2014",UFC FIGHT PASS,Win,Maximo Blanco
4,Andy Ogle,Maximo Blanco,UFC Fight Night,"May 31, 2014",Munoz vs Mousasi,Win,Maximo Blanco
5,Felipe Arantes,Maximo Blanco,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Loss,Maximo Blanco
6,Akira Corassani,Maximo Blanco,TUF 18 Finale Live on Sportsnet 360,"Nov 30, 2013",Maynard vs. Diaz,Loss,Maximo Blanco
7,Sam Sicilia,Maximo Blanco,The Ultimate Fighter 17 Finale Live from Las Vegas,"Apr 13, 2013",Faber vs. Jorgensen,Win,Maximo Blanco
8,Marcus Brimage,Maximo Blanco,UFC® 145,"Apr 21, 2012",Jones vs. Evans,Loss,Maximo Blanco
9,Pat Healy,Maximo Blanco,Strikeforce - Barnett vs. Kharitonov,"Sep 10, 2011",,Loss,Maximo Blanco
0,Erik Perez,Byron Bloodworth,UFC 155,"Dec 29, 2012",Dos Santos vs. Velasquez II,Loss,Byron Bloodworth
1,Mike Easton,Byron Bloodworth,UFC LIVE 6,"Oct 1, 2011",Cruz vs. Johnson,Loss,Byron Bloodworth
0,Mark Bocek,Mike De La Torre,TUF Nations Finale Bisping vs. Kennedy,"Apr 16, 2014",Sportsnet 360,Win,Mark Bocek
1,Mark Bocek,Rafael Dos Anjos,UFC® 154,"Nov 17, 2012",St-Pierre vs. Condit,Loss,Mark Bocek
2,Mark Bocek,John Alessio,UFC® 145,"Apr 21, 2012",Jones vs. Evans,Win,Mark Bocek
3,Mark Bocek,Nik Lentz,UFC® 140,"Dec 10, 2011",Jones vs. Machida,Win,Mark Bocek
4,Mark Bocek,Benson Henderson,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Loss,Mark Bocek
5,Mark Bocek,Dustin Hazelett,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,Win,Mark Bocek
6,Jim Miller,Mark Bocek,UFC® 111,"Mar 27, 2010",ST-PIERRE vs HARDY,Loss,Mark Bocek
7,Mark Bocek,Joe Brammer,The Ultimate Fighter®,"Dec 5, 2009",Heavyweights FINALE,Win,Mark Bocek
8,Mark Bocek,David Bielkheden,UFC® 97,"Apr 18, 2009",REDEMPTION,Win,Mark Bocek
9,Mark Bocek,Alvin Robinson,UFC® 91,"Nov 15, 2008",COUTURE vs LESNAR,Win,Mark Bocek
10,Mac Danzig,Mark Bocek,UFC® 83,"Apr 19, 2008",SERRA vs ST-PIERRE 2,Loss,Mark Bocek
11,Mark Bocek,Doug Evans,UFC® 79,"Dec 29, 2007",NEMESIS,Win,Mark Bocek
12,Frankie Edgar,Mark Bocek,UFC® 73,"Jul 7, 2007",STACKED,Loss,Mark Bocek
0,Chad Laprise,Galore Bofando,UFC Fight Night Lawler vs Dos Anjos,"Dec 16, 2017",Live on CTV TWO,Loss,Galore Bofando
1,Charlie Ward,Galore Bofando,UFC Fight Night Nelson vs Ponzinibbio,"Jul 16, 2017",Live on FS1,Win,Galore Bofando
0,Jesse Bongfeldt,Chris Weidman,UFC® 131,"Jun 11, 2011",DOS SANTOS vs. CARWIN,Loss,Jesse Bongfeldt
1,Jesse Bongfeldt,Rafael Natal,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,DRAW,Jesse Bongfeldt
0,Anderson Silva,Stephan Bonnar,UFC® 153,"Oct 13, 2012",Silva vs. Bonnar,Loss,Stephan Bonnar
1,Stephan Bonnar,Kyle Kingsbury,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Win,Stephan Bonnar
2,Stephan Bonnar,Igor Pokrajac,The Ultimate Fighter® 12,"Dec 4, 2010",Team GSP vs Team Koscheck Finale,Win,Stephan Bonnar
3,Krzysztof Soszynski,Stephan Bonnar,UFC® 116,"Jul 3, 2010",LESNAR vs CARWIN,Win,Stephan Bonnar
4,Krzysztof Soszynski,Stephan Bonnar,UFC® 110,"Feb 20, 2010",NOGUEIRA vs VELASQUEZ,Loss,Stephan Bonnar
5,Mark Coleman,Stephan Bonnar,UFC® 100,"Jul 11, 2009",Lesnar vs. Mir II,Loss,Stephan Bonnar
6,Jon Jones,Stephan Bonnar,UFC® 94,"Jan 31, 2009",ST-PIERRE VS PENN 2,Loss,Stephan Bonnar
7,Stephan Bonnar,Eric Schafer,UFC® 77,"Oct 20, 2007",HOSTILE TERRITORY,Win,Stephan Bonnar
8,Stephan Bonnar,Mike Nickels,UFC® 73,"Jul 7, 2007",STACKED,Win,Stephan Bonnar
9,Forrest Griffin,Stephan Bonnar,UFC® 62,"Aug 26, 2006",LIDDELL VS. SOBRAL,Loss,Stephan Bonnar
10,Rashad Evans,Stephan Bonnar,UFC® Fight Night™,"Jun 28, 2006",5,Loss,Stephan Bonnar
11,Stephan Bonnar,Keith Jardine,UFC® Fight Night™,"Apr 6, 2006",4,Win,Stephan Bonnar
12,Stephan Bonnar,James Irvin,UFC® Fight Night™,"Jan 16, 2006",3,Win,Stephan Bonnar
13,Stephan Bonnar,Sam Hoger,UFC® Fight Night™,"Aug 6, 2005",1,Win,Stephan Bonnar
14,Forrest Griffin,Stephan Bonnar,The Ultimate Fighter® 1,"Apr 9, 2005",Finale,,Stephan Bonnar
15,Lyoto Machida,Stephan Bonnar,Jungle Fight 1,"Sep 13, 2003",,Loss,Stephan Bonnar
0,Brian Bowles,George Roop,UFC 160 Live on Pay-Per View,"May 25, 2013",Velasquez vs. Bigfoot 2,Loss,Brian Bowles
1,Urijah Faber,Brian Bowles,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Loss,Brian Bowles
2,Brian Bowles,Takeya Mizugaki,UFC® 132,"Jul 2, 2011",Cruz vs. Faber,Win,Brian Bowles
3,Brian Bowles,Damacio Page,UFC® LIVE,"Mar 3, 2011",SANCHEZ vs. KAMPMANN,Win,Brian Bowles
4,Dominick Cruz,Brian Bowles,WEC 47,"Mar 6, 2010",Bowles vs. Cruz,,Brian Bowles
5,Brian Bowles,Miguel Torres,WEC 42,"Aug 9, 2009",Torres vs. Bowles,,Brian Bowles
6,Brian Bowles,Will Ribeiro,WEC 37,"Dec 3, 2008",Torres vs. Tapia,Win,Brian Bowles
7,Brian Bowles,Damacio Page,WEC 35,"Aug 3, 2008",Condit vs. Miura,Win,Brian Bowles
8,Brian Bowles,Marcos Galvao,WEC 31,"Dec 12, 2007",Faber vs. Curran,Win,Brian Bowles
9,Brian Bowles,Charlie Valencia,WEC 28,"Jun 3, 2007",Faber vs. Farrar,Win,Brian Bowles
0,Abel Trujillo,Roger Bowling,UFC Fight Night Live on Sportsnet 360,"Dec 14, 2013",Johnson vs. Benavidez 2,Loss,Roger Bowling
1,Roger Bowling,Abel Trujillo,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,NO CONTEST,Roger Bowling
2,Anthony Njokuani,Roger Bowling,UFC on FOX 7 Live from San Jose,"Apr 20, 2013",Henderson vs. Melendez,Loss,Roger Bowling
3,Tarec Saffiedine,Roger Bowling,STRIKEFORCE on Showtime 3,"Aug 18, 2012",Rousey vs. Kaufman,Loss,Roger Bowling
4,Roger Bowling,Brandon Saling,Strikeforce - Tate vs. Rousey,"Mar 3, 2012",,Win,Roger Bowling
5,Jerron Peoples,Roger Bowling,Strikeforce - Melendez vs. Masvidal,"Dec 17, 2011",,Win,Roger Bowling
6,Roger Bowling,Bobby Voelker,Strikeforce Challengers 17,"Jul 22, 2011",,Loss,Roger Bowling
7,Roger Bowling,Josh Thornburg,Strikeforce - Feijao vs. Henderson,"Mar 5, 2011",,Win,Roger Bowling
8,Roger Bowling,Bobby Voelker,Strikeforce Challengers 11,"Oct 22, 2010",,Loss,Roger Bowling
9,Bobby Voelker,Roger Bowling,Strikeforce Challengers 8,"May 21, 2010",,Win,Roger Bowling
0,Diego Brandao,Brian Ortega,UFC 195 Lawler vs Condit,"Jan 2, 2016",Live on Pay-Per-View,Loss,Diego Brandao
1,Katsunori Kikuno,Diego Brandao,UFC Fight Night Nelson vs. Barnett,"Sep 26, 2015",TSN 5,Win,Diego Brandao
2,Diego Brandao,Jimy Hettes,UFC Fight Night Machida vs. Rockhold,"Apr 18, 2015",CTV TWO,Win,Diego Brandao
3,Conor McGregor,Diego Brandao,UFC Fight Night McGregor vs. Brandao,"Jul 19, 2014",UFC Fight Pass,Loss,Diego Brandao
4,Dustin Poirier,Diego Brandao,UFC 168 Live on Pay-Per-View,"Dec 28, 2013",Weidman vs. Silva 2,Loss,Diego Brandao
5,Diego Brandao,Daniel Pineda,UFC,"Aug 17, 2013",Shogun vs. Sonnen Live on SN 360:Live from Boston,Win,Diego Brandao
6,Diego Brandao,Pablo Garza,UFC Sweden 2013 Live from Stockholm,"Apr 6, 2013",Mousasi vs. Latifi,Win,Diego Brandao
7,Diego Brandao,Joey Gambino,UFC® 153,"Oct 13, 2012",Silva vs. Bonnar,Win,Diego Brandao
8,Diego Brandao,Darren Elkins,UFC® 146,"May 26, 2012",Dos Santos vs. Mir,Loss,Diego Brandao
9,Diego Brandao,Dennis Bermudez,The Ultimate Fighter Finale,"Dec 3, 2011",Team Miller vs. Team Bisping,,Diego Brandao
0,Leandro Silva,Charlie Brenneman,UFC Fight Night Shogun vs. Saint Preux,"Nov 8, 2014",UFC FIGHT PASS,Loss,Charlie Brenneman
1,Danny Castillo,Charlie Brenneman,UFC 172 Jones vs. Teixeira,"Apr 26, 2014",Live on Pay-Per-View,Loss,Charlie Brenneman
2,Charlie Brenneman,Beneil Dariush,UFC Fight Night Live on Sportsnet 360,"Jan 15, 2014",Rockhold vs. Philippou,Loss,Charlie Brenneman
3,Kyle Noke,Charlie Brenneman,UFC® 152 Live on Pay-Per-View,"Sep 22, 2012",Jones vs. Belfort,Loss,Charlie Brenneman
4,Erick Silva,Charlie Brenneman,UFC®,"Jun 8, 2012",Johnson vs. McCall,Loss,Charlie Brenneman
5,Charlie Brenneman,Daniel Roberts,UFC®,"Jan 20, 2012",Guillard vs. Miller,Win,Charlie Brenneman
6,Anthony Johnson,Charlie Brenneman,UFC LIVE 6,"Oct 1, 2011",Cruz vs. Johnson,Loss,Charlie Brenneman
7,Charlie Brenneman,Rick Story,UFC® LIVE,"Jun 26, 2011",KONGO vs BARRY,Win,Charlie Brenneman
8,Charlie Brenneman,Amilcar Alves,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Win,Charlie Brenneman
9,Johny Hendricks,Charlie Brenneman,UFC 117,"Aug 7, 2010",Silva vs Sonnen,Loss,Charlie Brenneman
10,Charlie Brenneman,Jason High,UFC® Fight Night™ 21,"Mar 31, 2010",FLORIAN vs GOMI,Win,Charlie Brenneman
0,Ryan Bader,Jason Brilz,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Loss,Jason Brilz
1,Vladimir Matyushenko,Jason Brilz,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Loss,Jason Brilz
2,Jason Brilz,Antonio Rogerio Nogueira,UFC® 114,"May 29, 2010",RAMPAGE vs EVANS,Loss,Jason Brilz
3,Eric Schafer,Jason Brilz,UFC® on Versus,"Mar 21, 2010",VERA vs JONES,Win,Jason Brilz
4,Eliot Marshall,Jason Brilz,UFC® 103,"Sep 19, 2009",FRANKLIN vs BELFORT,Loss,Jason Brilz
5,Jason Brilz,Tim Boetsch,UFC® 96,"Mar 7, 2009",JACKSON vs JARDINE,Win,Jason Brilz
6,Jason Brilz,Brad Morris,UFC® Fight Night™,"Sep 17, 2008",Diaz vs Neer,Win,Jason Brilz
0,Marcus Brimage,Jimmie Rivera,UFC Fight Night Bisping vs. Leites,"Jul 18, 2015",TSN 2,Loss,Marcus Brimage
1,Marcus Brimage,Cody Garbrandt,UFC 182 Jones vs. Cormier,"Jan 3, 2015",Live on Pay-Per-View,Loss,Marcus Brimage
2,Jumabieke Tuerxun,Marcus Brimage,UFC Fight Night Rockhold vs. Bisping,"Nov 7, 2014",UFC FIGHT PASS,Win,Marcus Brimage
3,Marcus Brimage,Russell Doane,UFC 175 Weidman vs. Machida,"Jul 5, 2014",Live on Pay-Per-View,Loss,Marcus Brimage
4,Marcus Brimage,Conor McGregor,UFC Sweden 2013 Live from Stockholm,"Apr 6, 2013",Mousasi vs. Latifi,Loss,Marcus Brimage
5,Jimy Hettes,Marcus Brimage,UFC® 152 Live on Pay-Per-View,"Sep 22, 2012",Jones vs. Belfort,Win,Marcus Brimage
6,Marcus Brimage,Maximo Blanco,UFC® 145,"Apr 21, 2012",Jones vs. Evans,Win,Marcus Brimage
7,Marcus Brimage,Stephen Bass,The Ultimate Fighter Finale,"Dec 3, 2011",Team Miller vs. Team Bisping,Win,Marcus Brimage
0,Dustin Poirier,Jonathan Brookins,The Ultimate Fighter 16,"Dec 15, 2012",Finale,Loss,Jonathan Brookins
1,Jonathan Brookins,Charles Oliveira,The Ultimate Fighter Live®,"Jun 1, 2012",Finale,Loss,Jonathan Brookins
2,Jonathan Brookins,Vagner Rocha,UFC®,"Feb 15, 2012",Sanchez vs. Ellenberger,Win,Jonathan Brookins
3,Jonathan Brookins,Erik Koch,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Loss,Jonathan Brookins
4,Jonathan Brookins,Michael Johnson,The Ultimate Fighter® 12,"Dec 4, 2010",Team GSP vs Team Koscheck Finale,,Jonathan Brookins
5,Jose Aldo,Jonathan Brookins,WEC 36,"Nov 5, 2008",Faber vs. Brown,Loss,Jonathan Brookins
0,Rob Broughton,Phil De Fries,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Loss,Rob Broughton
1,Travis Browne,Rob Broughton,UFC® 135,"Sep 24, 2011",JONES vs. RAMPAGE,Loss,Rob Broughton
2,Rob Broughton,Vinicius Queiroz,UFC® 120,"Oct 16, 2010",BISPING vs AKIYAMA,Win,Rob Broughton
0,Gabriel Benitez,Humberto Brown,UFC 180 Werdum vs. Hunt,"Nov 15, 2014",Live on Pay-Per-View,Loss,Humberto Brown
0,Mike Brown,Steven Siler,UFC,"Aug 17, 2013",Shogun vs. Sonnen Live on SN 360:Live from Boston,Loss,Mike Brown
1,Mike Brown,Daniel Pineda,UFC® 146,"May 26, 2012",Dos Santos vs. Mir,Win,Mike Brown
2,Mike Brown,Nam Phan,UFC® 133,"Aug 6, 2011",Evans vs. Ortiz,Win,Mike Brown
3,Rani Yahya,Mike Brown,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Loss,Mike Brown
4,Mike Brown,Diego Nunes,UFC® 125,"Jan 1, 2011",RESOLUTION,Loss,Mike Brown
5,Mike Brown,Cole Province,WEC 51,"Sep 30, 2010",Aldo vs. Gamburyan,Win,Mike Brown
6,Mike Brown,Manvel Gamburyan,WEC 48,"Apr 24, 2010",Aldo vs. Faber,Loss,Mike Brown
7,Mike Brown,Anthony Morrison,WEC 46,"Jan 10, 2010",Varner vs. Henderson,Win,Mike Brown
8,Jose Aldo,Mike Brown,WEC 44,"Nov 18, 2009",Brown vs. Aldo,,Mike Brown
9,Mike Brown,Urijah Faber,WEC 41,"Jun 7, 2009",Brown vs. Faber 2,,Mike Brown
10,Mike Brown,Leonard Garcia,WEC 39,"Mar 1, 2009",Brown vs. Garcia,,Mike Brown
11,Mike Brown,Urijah Faber,WEC 36,"Nov 5, 2008",Faber vs. Brown,,Mike Brown
12,Mike Brown,Jeff Curran,WEC 34,"Jun 1, 2008",Faber vs. Pulver,Win,Mike Brown
13,Genki Sudo,Mike Brown,UFC® 47,"Apr 2, 2004",IT'S ON,Loss,Mike Brown
0,Igor Pokrajac,Todd Brown,UFC® LIVE,"Mar 3, 2011",SANCHEZ vs. KAMPMANN,Loss,Todd Brown
1,Todd Brown,Tim Boetsch,UFC® 117,"Aug 7, 2010",SILVA vs SONNEN,Loss,Todd Brown
0,Gray Maynard,Fernando Bruno,The Ultimate Fighter Finale Team Joanna vs. Team Claudia,"Jul 8, 2016",TSN 5,Loss,Fernando Bruno
1,Glaico Franca,Fernando Bruno,UFC 190 Rousey vs. Correia,"Aug 1, 2015",Live on Pay-Per-View,,Fernando Bruno
0,Mikey Burnett,Townsend Saunders,UFC® 18,"Jan 8, 1999",Road To The Heavyweight Title,Win,Mikey Burnett
1,Pat Miletich,Mikey Burnett,Ultimate,"Oct 16, 1998",Brazil,,Mikey Burnett
2,Mikey Burnett,Eugenio Tadeu,UFC® 16,"Mar 13, 1998",Battle In The Bayou,Win,Mikey Burnett
0,TJ Grant,Kevin Burns,UFC® 107,"Dec 12, 2009",PENN vs SANCHEZ,Loss,Kevin Burns
